controller,seed,steps,success,remaining_mass,removal_rate,total_reward,collision_rate,known_fraction,path_length,first_contact_step
flow_only,30360811,300,0.0,1.0,0.0,-0.6000000000000004,0.0,0.7973856209150327,10.460361759993248,300
flow_only,30360812,300,0.0,1.0,0.0,-0.6000000000000004,0.0,0.7908496732026143,10.38235199416522,300
flow_only,30360813,300,0.0,1.0,0.0,-0.6000000000000004,0.0,0.7973856209150327,10.233132682391442,300
random,30360811,232,1.0,0.0,1.0,12.142715716719628,0.0,0.8366013071895425,33.597938465187326,217
random,30360812,256,1.0,0.0,1.0,12.499998389363292,0.0,0.8235294117647058,37.02444306341931,234
random,30360813,300,0.0,1.0,0.0,-1.1850000000000005,0.0,0.7843137254901961,43.536157279333565,300
greedy,30360811,300,0.0,1.0,0.0,-0.6000000000000004,0.0,0.7516339869281046,43.412641174159944,300
greedy,30360812,138,1.0,0.0,1.0,12.966977142333985,0.0,0.7973856209150327,20.952397474087775,131
greedy,30360813,300,0.0,1.0,0.0,-0.6000000000000004,0.0,0.2549019607843137,42.54266332555562,300
