controller,seed,steps,success,remaining_mass,removal_rate,total_reward,collision_rate,known_fraction,path_length,first_contact_step
flow_only,12060811,300,0.0,1.0,0.5,7.597853922247892,0.0,0.7908496732026143,11.356557842053007,251
flow_only,12060812,300,0.0,1.0,0.5,7.755044126510635,0.0,0.7973856209150327,10.214875683479477,229
flow_only,12060813,300,0.0,1.0,0.5,8.03385963439937,0.0,0.7908496732026143,10.342371729202569,225
flow_only,12060814,300,0.0,1.0,0.5,7.915982270240778,0.0,0.7908496732026143,10.342978945118375,224
flow_only,12060815,300,0.0,1.0,0.5,7.368650072813047,0.0,0.7973856209150327,10.048563513264526,234
random,12060811,300,0.0,1.0,0.5,7.100492753982567,0.0,0.7973856209150327,42.96466113493079,179
random,12060812,300,0.0,1.0,0.5,6.855814869403851,0.0,0.7973856209150327,42.54897938086651,234
random,12060813,300,0.0,1.0,0.5,7.060029928684236,0.0,0.7973856209150327,40.84781218110584,284
random,12060814,300,0.0,1.0,0.5,7.408525986671453,0.0,0.8300653594771242,39.91398742632009,267
random,12060815,300,0.0,1.0,0.5,7.047403666973123,0.0,0.8235294117647058,44.56403453007806,236
greedy,12060811,300,0.0,1.0,0.5,8.093135917186705,0.0,0.7973856209150327,44.45835603401065,244
greedy,12060812,300,0.0,1.0,0.5,8.217460536956668,0.0,0.7973856209150327,45.09715195838362,113
greedy,12060813,300,0.0,2.0,0.0,-0.6000000000000004,0.0,0.7843137254901961,43.44433723669499,300
greedy,12060814,300,0.0,1.0,0.5,8.200603508949241,0.0,0.7973856209150327,44.3874137904495,233
greedy,12060815,300,0.0,1.0,0.5,7.342221045494117,0.0,0.7973856209150327,44.73581693414599,124
