controller,seed,steps,success,remaining_mass,removal_rate,total_reward,collision_rate,known_fraction,path_length
flow_only,20260811,300,0.0,1.0,0.5,9.285914087295453,0.0,0.6535947712418301,30.94994986290112
random,20260811,300,0.0,1.0,0.5,7.11891309738162,0.9583333333333334,0.6339869281045751,124.2950097139692
greedy,20260811,300,0.0,1.0,0.5,10.579341793060216,0.0,0.6013071895424836,131.3462303634733
