scenario	controller	episodes	success_rate	removal_rate	remaining_mass	first_contact_step	returned_to_junction_rate	max_branches_occupied	collision_rate	steps
bifurcation	forward_cohesive_m1	5	0.0	0.5	1.0	47.0	1.0	1.2	0.290825	1000.0
bifurcation	forward_split_m-1	5	0.0	0.4	1.2	47.25	0.8	1.8	0.3407	1000.0
bifurcation	greedy_euclidean_m1	5	0.0	0.5	1.0	42.0	1.0	1.6	0.239975	1000.0
bifurcation	topology_oracle	5	1.0	1.0	0.0	41.0	1.0	1.0	0.0	112.4
