controller,seed,steps,success,remaining_mass,removal_rate,total_reward,collision_rate,known_fraction,path_length
flow_only,20260811,300,0.0,1.0,0.5,9.285914087295453,0.0,0.6535947712418301,30.94994986290112
flow_only,20260812,300,0.0,1.0,0.5,7.917939239740326,0.0,0.6470588235294118,30.96356291405391
flow_only,20260813,300,0.0,1.4942138195037842,0.2528930902481079,3.353789443969746,0.0,0.6470588235294118,34.6881504408957
random,20260811,300,0.0,1.0,0.5,8.194260540008461,0.0,0.6601307189542484,128.4605468440568
random,20260812,300,0.0,1.0,0.5,7.599300717711441,0.0,0.6013071895424836,129.00316560213105
random,20260813,300,0.0,1.0,0.5,7.012612719535845,0.0,0.6405228758169934,127.02030963543802
greedy,20260811,300,0.0,1.0,0.5,10.579341793060216,0.0,0.6013071895424836,131.3462303634733
greedy,20260812,300,0.0,2.0,0.0,-0.6000000000000004,0.0,0.21568627450980393,128.02342907246202
greedy,20260813,300,0.0,1.0,0.5,8.224883222579804,0.0,0.6013071895424836,131.1600507022813
