controller,seed,steps,success,remaining_mass,removal_rate,total_reward,collision_rate,known_fraction,path_length
flow_only,20260811,282,1.0,0.0,1.0,24.479384160995487,0.0,0.5290697674418605,29.27501817391021
random,20260811,293,1.0,0.0,1.0,20.34465450668335,0.0,0.6802325581395349,117.17256718932185
greedy,20260811,300,0.0,2.0,0.0,-0.6000000000000004,0.0,0.38372093023255816,129.9630935061723
